param,value,seed,utility,cost,budget,deadline,n_calls,budget_violated,deadline_violated
alpha,1.5,36,0.8916279492669554,28.429400807164402,135.55342035516244,18.6514016557287,17,0,0
alpha,1.5,37,0.9907933890866949,21.67317054376238,128.3400895975224,19.56353804359576,15,0,0
alpha,1.5,38,0.9831594818610013,32.922650987175054,134.17905359073026,19.375463308550366,21,0,0
alpha,1.5,39,0.9680374499760509,37.13032909187856,143.92688723115285,19.997322519108074,22,0,0
alpha,2.0,0,0.9511960707465048,19.6590098312802,136.05873535288868,19.84494662211961,13,0,0
alpha,2.0,1,0.18361710737154313,9.490244962059002,124.3036157375249,19.758866178749642,6,0,0
alpha,2.0,2,0.11026219011922778,7.954669665761993,141.42836231333638,19.850101795890854,6,0,0
alpha,2.0,3,0.8990112344048402,17.78887075666879,133.79582495241877,19.95395727162396,15,0,0
alpha,2.0,4,0.9755974135219644,42.09182817839838,123.97863852709642,19.982854777392387,22,0,0
alpha,2.0,5,0.9615428059146182,42.88663884148575,134.11085298380624,19.529341540306977,18,0,0
alpha,2.0,6,0.8647947768143125,19.939732791846755,131.11310974469,19.90752575264796,17,0,0
alpha,2.0,7,0.921752117228191,48.88738531071534,122.25008907325598,19.574959965467357,23,0,0
alpha,2.0,8,0.7441298363710784,24.384982670563854,151.01525745663204,19.720432633712623,17,0,0
alpha,2.0,9,0.2761413352913684,9.628494529632082,140.94485761665607,19.897738955799877,6,0,0
alpha,2.0,10,0.9662639929780643,31.300772074379054,127.98091720555095,19.749700890877246,18,0,0
alpha,2.0,11,0.3179713388982712,11.72478969370849,137.26156889621473,19.813607729639703,6,0,0
alpha,2.0,12,0.8207320887483782,23.10983609962891,131.89104477777016,19.631581619913398,18,0,0
alpha,2.0,13,0.807553982509599,23.884206046723985,150.94407157539646,19.158084632682687,14,0,0
alpha,2.0,14,0.17222890332646135,12.470109237905376,137.86336742750555,19.962833202110495,6,0,0
alpha,2.0,15,0.9999771459996717,36.32549103508199,144.89365712534914,19.881625712177694,20,0,0
alpha,2.0,16,0.9945150111056765,57.75985570561991,134.46464567923752,19.675616024351662,27,0,0
alpha,2.0,17,0.4397776432074235,11.516701300718347,124.01734269884662,19.762535309688342,6,0,0
alpha,2.0,18,0.28055354040439784,9.008024878589868,127.99529289042455,19.388065848286175,6,0,0
alpha,2.0,19,0.943510048764519,35.42913056245484,124.74798965759815,19.65248526725755,18,0,0
alpha,2.0,20,0.4442525412170738,12.217181706629693,130.08881191350562,19.918688251210774,6,0,0
alpha,2.0,21,0.9946200868194434,52.09930361907153,143.14002450022036,19.52856205003464,24,0,0
alpha,2.0,22,0.11353507973954757,8.700312162849027,153.49815195157677,18.95482005128217,6,0,0
