profile,K,seed,policy,utility,cost,budget,n_calls,budget_violated,deadline_violated,oracle_utility,regret
toolbench_subset,100,45,react_capped,0.64143157285915,76.37240117507142,87.52558389390566,18,0,1,0.9678034635255532,0.32637189066640326
toolbench_subset,100,45,bwk_vanilla,0.8982093916401206,84.84152751956424,87.52558389390566,19,0,0,0.9678034635255532,0.06959407188543265
toolbench_subset,100,45,cbuc,0.9995564088502781,25.599172053531234,87.52558389390566,20,0,0,0.9678034635255532,-0.031752945324724835
toolbench_subset,100,45,cbuc_aggr,0.11732350018966808,9.006096146216352,87.52558389390566,6,0,0,0.9678034635255532,0.8504799633358852
toolbench_subset,100,46,react_capped,0.8003184438255561,68.23983126799017,76.12142990167088,19,0,1,0.9959154209923942,0.1955969771668381
toolbench_subset,100,46,bwk_vanilla,0.7740172678021482,61.49909577549048,76.12142990167088,17,0,1,0.9959154209923942,0.22189815319024597
toolbench_subset,100,46,cbuc,0.6266133658787663,35.9249263868752,76.12142990167088,16,0,0,0.9959154209923942,0.3693020551136279
toolbench_subset,100,46,cbuc_aggr,0.20540581920990375,7.2792950090214825,76.12142990167088,6,0,0,0.9959154209923942,0.7905096017824904
toolbench_subset,100,47,react_capped,0.6322229442725813,115.10455649451208,83.74399739390815,13,1,0,0.9771263112563866,0.3449033669838053
toolbench_subset,100,47,bwk_vanilla,0.9219795800054464,54.40372782446725,83.74399739390815,15,0,1,0.9771263112563866,0.05514673125094016
toolbench_subset,100,47,cbuc,0.7439009322652537,40.06409777411743,83.74399739390815,17,0,0,0.9771263112563866,0.23322537899113294
toolbench_subset,100,47,cbuc_aggr,0.7809774626024242,31.705567567820832,83.74399739390815,19,0,0,0.9771263112563866,0.19614884865396243
toolbench_subset,100,48,react_capped,0.6422430463905118,93.17288862823922,76.35073851308309,10,1,0,0.9667516518123686,0.3245086054218568
toolbench_subset,100,48,bwk_vanilla,0.7325189306937009,75.9456661451436,76.35073851308309,14,0,0,0.9667516518123686,0.23423272111866766
toolbench_subset,100,48,cbuc,0.07770075623296446,9.217616285340222,76.35073851308309,6,0,0,0.9667516518123686,0.8890508955794041
toolbench_subset,100,48,cbuc_aggr,0.13546188010004157,5.776119882262326,76.35073851308309,6,0,0,0.9667516518123686,0.831289771712327
toolbench_subset,100,49,react_capped,0.5300430601959006,78.81571761857961,78.06757360723206,14,1,0,0.9670569930446318,0.43701393284873113
toolbench_subset,100,49,bwk_vanilla,0.6335019383828958,80.24580484909258,78.06757360723206,18,1,0,0.9670569930446318,0.33355505466173596
toolbench_subset,100,49,cbuc,0.08711732751364731,22.0821112385636,78.06757360723206,6,0,0,0.9670569930446318,0.8799396655309845
toolbench_subset,100,49,cbuc_aggr,0.317271224964329,5.468498532694166,78.06757360723206,6,0,0,0.9670569930446318,0.6497857680803028
tau_bench,15,0,react_capped,0.23240067764377537,46.39286149346556,45.60903315254886,4,1,0,0.8989828627029035,0.6665821850591281
tau_bench,15,0,bwk_vanilla,0.613760414570734,44.807507962012885,45.60903315254886,7,0,0,0.8989828627029035,0.28522244813216946
