sparsity,seed,policy,utility,cost,budget,budget_violated,oracle_utility,regret
0.1,13,react_capped,0.9297842802716265,105.05054689845878,136.4680968601364,0,0.9257834532434095,-0.004000827028217024
0.1,13,bwk_vanilla,0.7974059894909494,130.5999935764939,136.4680968601364,0,0.9257834532434095,0.12837746375246006
0.1,13,cbuc,0.30667804667732923,7.583500603469206,136.4680968601364,0,0.9257834532434095,0.6191054065660803
0.1,13,cbuc_aggr,0.19203884034093288,17.779739782591058,136.4680968601364,0,0.9257834532434095,0.7337446129024766
0.1,14,react_capped,0.8685571605663285,117.11580854157388,142.987715889429,0,0.902754757699759,0.03419759713343051
0.1,14,bwk_vanilla,0.8727515554658556,129.13911561251865,142.987715889429,0,0.902754757699759,0.030003202233903403
0.1,14,cbuc,0.3183464308645333,19.35745708748625,142.987715889429,0,0.902754757699759,0.5844083268352257
0.1,14,cbuc_aggr,0.005815932417194358,10.715286360695123,142.987715889429,0,0.902754757699759,0.8969388252825646
0.1,15,react_capped,0.8691758314328685,109.06865989637316,131.26641832383646,0,0.9006771390736927,0.03150130764082426
0.1,15,bwk_vanilla,0.7176558066349348,56.150160917677404,131.26641832383646,0,0.9006771390736927,0.18302133243875796
0.1,15,cbuc,0.8755925447672516,27.417851540165337,131.26641832383646,0,0.9006771390736927,0.025084594306441166
0.1,15,cbuc_aggr,0.9546169463176007,24.764415745328723,131.26641832383646,0,0.9006771390736927,-0.05393980724390801
0.1,16,react_capped,0.8070570019775141,99.03814214062099,130.46621332528213,0,0.9360394554118061,0.12898245343429204
0.1,16,bwk_vanilla,0.623236146630739,130.01408687808834,130.46621332528213,0,0.9360394554118061,0.3128033087810671
0.1,16,cbuc,0.14359646776145896,11.40465794554975,130.46621332528213,0,0.9360394554118061,0.7924429876503472
0.1,16,cbuc_aggr,0.23800176534365025,9.966698773381,130.46621332528213,0,0.9360394554118061,0.6980376900681559
0.1,17,react_capped,0.6424811078083504,132.64089741793674,132.1583476648317,1,0.8163093962806458,0.17382828847229537
