K,rho,cost_tail,utility_sparsity,seed,policy,utility,cost,latency,n_calls,budget,deadline,budget_violated,deadline_violated,oracle_utility,regret
10,0.2,1.5,0.2,2286161264,cbuc_mod,0.2517592939710823,4.767495104035951,6.751139028348241,6,9.228117368595866,18.584281780148714,0,0,0.7206138139262935,0.4688545199552112
10,0.2,1.5,0.2,2286161264,cbuc_aggr,0.04749239660128246,4.560382590942374,5.924427954569093,6,9.228117368595866,18.584281780148714,0,0,0.7206138139262935,0.6731214173250111
10,0.2,1.5,0.2,2286161264,lagrangian,0.8593752881071245,8.670465172222256,5.3571555245006675,5,9.228117368595866,18.584281780148714,0,0,0.7206138139262935,-0.13876147418083096
10,0.2,1.5,0.2,2286161264,cvar_bwk,0.5039972268506563,9.665647318113418,4.176045151047367,4,9.228117368595866,18.584281780148714,1,0,0.7206138139262935,0.21661658707563725
10,0.2,1.5,0.2,2286161264,precheck_ucb,0.1670030123313606,9.8528246403438,10.180714914566844,9,9.228117368595866,18.584281780148714,1,0,0.7206138139262935,0.5536108015949329
10,0.2,1.5,0.2,2286161264,cc_knapsack,0.0,0.0,0.0,0,9.228117368595866,18.584281780148714,0,0,0.7206138139262935,0.7206138139262935
10,0.2,1.5,0.2,3953699394,react_uncapped,0.9706856003018615,582.905602532173,35.88221412510071,30,13.756394634283701,17.222556957246155,1,1,0.556505108276709,-0.4141804920251525
10,0.2,1.5,0.2,3953699394,react_capped,0.38266476257411874,15.303029231379188,3.9553259676048405,4,13.756394634283701,17.222556957246155,1,0,0.556505108276709,0.17384034570259022
10,0.2,1.5,0.2,3953699394,nonadaptive_greedy,0.5927708776273073,5.822467588603261,1.9745496437584646,2,13.756394634283701,17.222556957246155,0,0,0.556505108276709,-0.03626576935059833
10,0.2,1.5,0.2,3953699394,bwk_vanilla,0.06796557436785988,14.218103796641941,3.174635109092735,3,13.756394634283701,17.222556957246155,1,0,0.556505108276709,0.4885395339088491
10,0.2,1.5,0.2,3953699394,cbuc,0.2988175662508772,5.519489675370541,8.501485773670689,6,13.756394634283701,17.222556957246155,0,0,0.556505108276709,0.2576875420258318
10,0.2,1.5,0.2,3953699394,cbuc_mod,0.2662978387660464,6.4956364045928,7.646813656631113,6,13.756394634283701,17.222556957246155,0,0,0.556505108276709,0.29020726951066256
